Authors,DOI,DataSourceType,FeatureName,UniqueID,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolutionMeters,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiationIndex
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Jeremy,1,67.96441579,-157.5352928,Active layer detachment,Active layer detachment,Abrupt,,,,176,403.01562,403.6236358,-0.608010809,8,0.781337817
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Cloud Hole,2,68.28659624,-157.3640155,Active layer detachment,Active layer detachment,Abrupt,,,,22,642.65625,644.3135448,-1.657294781,7,0.668045164
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Dark bear slide,3,68.19296372,-159.5467003,Active layer detachment,Active layer detachment,Abrupt,,,,226,302.35938,304.856251,-2.496875997,4,0.708864793
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Flinn's fork WT,4,68.29851066,-157.2273774,Active layer detachment,Active layer detachment,Abrupt,,,,153,701.65625,701.7830519,-0.126801888,3,0.743278409
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Fresh Prince,5,68.0480568,-158.8343793,Active layer detachment,Active layer detachment,Abrupt,,,,185,246.02344,246.3870415,-0.363603968,1,0.719943154
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Kink,6,67.67238675,-161.3908222,Active layer detachment,Active layer detachment,Abrupt,,,,58,529.53125,533.4305669,-3.899316931,15,0.728034729
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tommy's Tongue,7,68.04690038,-158.8631587,Active layer detachment,Active layer detachment,Abrupt,,,,139,271.08594,267.0927304,3.993207073,3,0.747683703
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD0,8,68.96034673,-150.6396622,Active layer detachment,Active layer detachment,Abrupt,,,,164,315.7578,316.7521098,-0.994297328,2,0.722320374
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD1,9,68.95943269,-150.6563031,Active layer detachment,Active layer detachment,Abrupt,,,,129,310.97656,311.3654457,-0.388883234,5,0.759650817
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD2,10,68.95905215,-150.6617392,Active layer detachment,Active layer detachment,Abrupt,,,,185,308.53125,309.3935111,-0.862261093,5,0.739226525
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD3,11,68.9585518,-150.6703872,Active layer detachment,Active layer detachment,Abrupt,,,,254,306.2578,306.3100102,-0.05219768,2,0.688761619
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Alex's Tongue,12,68.47039236,-149.3435041,Active layer detachment,Active layer detachment,Abrupt,,,,145,1001.78906,1001.12118,0.667882151,14,0.855022807
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Big muddy WT,13,67.8592007,-161.3256249,Active layer detachment,Active layer detachment,Abrupt,,,,308,614.8125,614.641857,0.170642953,11,0.569041672
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Bloodslide WT,14,68.28249097,-157.0526831,Active layer detachment,Active layer detachment,Abrupt,,,,134,741.7344,743.8479585,-2.113583504,4,0.756462697
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Hippy's Hand WT,15,67.98202371,-157.0744836,Active layer detachment,Active layer detachment,Abrupt,,,,11,549.77344,555.5145496,-5.741112085,15,0.582975547
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Moose Creek,16,67.92794047,-161.4239743,Active layer detachment,Active layer detachment,Abrupt,,,,5,444.4297,444.855979,-0.426291495,9,0.631947875
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Muskateer 1 wt,17,68.26321876,-157.7291352,Active layer detachment,Active layer detachment,Abrupt,,,,249,610.58594,614.3912837,-3.805346164,10,0.651705319
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Muskateer 2,18,68.2625697,-157.7056656,Active layer detachment,Active layer detachment,Abrupt,,,,241,708.1328,707.9735882,0.159224301,4,0.695270173
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Old Iron Slides,19,68.26975456,-157.6788854,Active layer detachment,Active layer detachment,Abrupt,,,,91,753.8281,753.1160423,0.712082726,5,0.749558063
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Sam wt,20,68.26731373,-157.4703736,Active layer detachment,Active layer detachment,Abrupt,,,,94,672.5,672.6613316,-0.161331623,2,0.726936265
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tim wt,21,68.26633894,-157.4737112,Active layer detachment,Active layer detachment,Abrupt,,,,85,678.46094,679.3121761,-0.851238598,2,0.724123543
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Wolf Creek,22,67.73214836,-161.4207116,Active layer detachment,Active layer detachment,Abrupt,,,,218,419.97656,424.3285833,-4.352020811,3,0.720222095
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK,102,68.96277477,-150.6708432,Active layer detachment,Active layer detachment,Abrupt,,,,173,356.51562,357.2803112,-0.76468618,11,0.797224795
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Slopbucket,105,67.92515494,-161.418127,Active layer detachment,Active layer detachment,Abrupt,,,,312,486.25,487.2634927,-1.013492714,10,0.581292307
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Eli,108,67.71618077,-161.430234,Active layer detachment,Active layer detachment,Abrupt,,,,75,445.6797,447.5587316,-1.879044084,13,0.772518356
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Saddle,109,67.81790203,-161.4465622,Active layer detachment,Active layer detachment,Abrupt,,,,201,757.5547,758.2284867,-0.673799225,6,0.742322983
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Bear_Patch,110,67.73697878,-161.4274599,Active layer detachment,Active layer detachment,Abrupt,,,,165,468.95312,470.7703183,-1.817193269,8,0.794197266
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Sushi,111,67.86341152,-161.480434,Active layer detachment,Active layer detachment,Abrupt,,,,43,513.9219,512.9555493,0.96632565,12,0.689645009
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Remora,112,67.64852655,-161.6056207,Active layer detachment,Active layer detachment,Abrupt,,,,254,533.1406,533.495294,-0.35466904,7,0.672252618
