Authors,DOI,DataSourceType,FeatureName,FeatureType,FeatureCategory,Imagery,ImageryDate,ImageryResolutionMeters,Latitude,Longitude,ThawType,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiation,Geo
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Jeremy,Active layer detachment,Active layer detachment,,,,67.96441,-157.5353,Abrupt,176,403.01562,403.6236358,-0.608010809,8,0.781337817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.535292799312,67.96441578653959]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Cloud Hole,Active layer detachment,Active layer detachment,,,,68.2866,-157.364,Abrupt,22,642.65625,644.3135448,-1.657294781,7,0.668045164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.36401554602813,68.28659623632905]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Dark bear slide,Active layer detachment,Active layer detachment,,,,68.19296,-159.54671,Abrupt,226,302.35938,304.856251,-2.496875997,4,0.708864793,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.5467002944989,68.19296371614136]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Flinn's fork WT,Active layer detachment,Active layer detachment,,,,68.29851,-157.22738,Abrupt,153,701.65625,701.7830519,-0.126801888,3,0.743278409,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.22737741268142,68.29851065732772]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Fresh Prince,Active layer detachment,Active layer detachment,,,,68.04806,-158.83439,Abrupt,185,246.02344,246.3870415,-0.363603968,1,0.719943154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.83437932202708,68.04805680273397]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Kink,Active layer detachment,Active layer detachment,,,,67.67239,-161.39081,Abrupt,58,529.53125,533.4305669,-3.899316931,15,0.728034729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.39082222430486,67.67238675320131]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tommy's Tongue,Active layer detachment,Active layer detachment,,,,68.0469,-158.86316,Abrupt,139,271.08594,267.0927304,3.993207073,3,0.747683703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-158.8631586761763,68.04690037565462]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD0,Active layer detachment,Active layer detachment,,,,68.960351,-150.639683,Abrupt,164,315.7578,316.7521098,-0.994297328,2,0.722320374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.63966220932002,68.96034673012068]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD1,Active layer detachment,Active layer detachment,,,,68.959438,-150.65629,Abrupt,129,310.97656,311.3654457,-0.388883234,5,0.759650817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.65630306900727,68.95943268946884]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Valley of the TK ALD2,Active layer detachment,Active layer detachment,,,,68.959054,-150.661716,Abrupt,185,308.53125,309.3935111,-0.862261093,5,0.739226525,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.66173915811152,68.95905214847006]}"
